From	To	Type
scCB2	SingleCellExperiment	Imports
scCB2	DropletUtils	Imports
scCB2	Seurat	Imports
scClassifR	Seurat	Depends
scClassifR	SingleCellExperiment	Depends
scDataviz	SingleCellExperiment	Depends
scDataviz	Seurat	Imports
scDblFinder	SingleCellExperiment	Imports
scDblFinder	scran	Imports
scDblFinder	scater	Imports
scDblFinder	scuttle	Imports
scDblFinder	mbkmeans	Imports
scDD	SingleCellExperiment	Imports
scDD	scran	Imports
scds	SingleCellExperiment	Imports
scds	scater	Suggests
scFeatureFilter	SingleCellExperiment	Suggests
scGPS	SingleCellExperiment	Depends
schex	SingleCellExperiment	Depends
schex	Seurat	Depends
schex	scater	Suggests
schex	iSEE	Suggests
schex	scran	Suggests
scHOT	SingleCellExperiment	Imports
scHOT	scater	Suggests
scMAGeCK	Seurat	Imports
scmap	SingleCellExperiment	Imports
scMappR	Seurat	Imports
scMerge	M3Drop	Imports
scMerge	SingleCellExperiment	Imports
scMerge	scater	Suggests
SCnorm	SingleCellExperiment	Imports
scone	SingleCellExperiment	Imports
scone	scran	Suggests
scone	splatter	Suggests
scone	scater	Suggests
scPCA	splatter	Suggests
scPCA	SingleCellExperiment	Suggests
scPipe	SingleCellExperiment	Depends
scPipe	scater	Imports
scPipe	Rsubread	Suggests
scran	SingleCellExperiment	Depends
scran	scuttle	Depends
scran	monocle	Suggests
scran	scater	Suggests
scRecover	SAVER	Imports
scRecover	Rmagic	Imports
scRecover	SingleCellExperiment	Suggests
scruff	SingleCellExperiment	Imports
scruff	Rsubread	Imports
scry	glmpca	Imports
scry	SingleCellExperiment	Imports
scTenifoldKnk	scTenifoldNet	Imports
scTensor	SingleCellExperiment	Imports
scTensor	schex	Imports
scTensor	Seurat	Suggests
scTensor	scTGIF	Suggests
scTGIF	SingleCellExperiment	Imports
scTGIF	schex	Imports
scuttle	SingleCellExperiment	Depends
scuttle	scran	Suggests
Seurat	sctransform	Imports
Seurat	SeuratObject	Imports
Seurat	SingleCellExperiment	Suggests
Seurat	MAST	Suggests
Seurat	monocle	Suggests
SignacX	Seurat	Imports
sincell	monocle	Suggests
singleCellHaystack	SingleCellExperiment	Suggests
singleCellHaystack	SeuratObject	Suggests
SingleCellSignalR	SIMLR	Imports
SingleCellSignalR	scran	Imports
singleCellTK	SingleCellExperiment	Depends
singleCellTK	batchelor	Imports
singleCellTK	MAST	Imports
singleCellTK	scater	Imports
singleCellTK	scMerge	Imports
singleCellTK	scran	Imports
singleCellTK	Seurat	Imports
singleCellTK	SingleR	Imports
singleCellTK	celda	Imports
singleCellTK	DropletUtils	Imports
singleCellTK	scds	Imports
singleCellTK	fishpond	Imports
singleCellTK	zinbwave	Imports
singleCellTK	scDblFinder	Imports
singleCellTK	Rsubread	Suggests
SingleR	SingleCellExperiment	Suggests
SingleR	scuttle	Suggests
SingleR	scater	Suggests
SingleR	scran	Suggests
slalom	SingleCellExperiment	Imports
slalom	scater	Suggests
slingshot	SingleCellExperiment	Imports
slingshot	clusterExperiment	Suggests
SoupX	Seurat	Imports
SoupX	DropletUtils	Suggests
splatter	SingleCellExperiment	Depends
splatter	scater	Imports
splatter	scDD	Suggests
splatter	scran	Suggests
splatter	mfa	Suggests
splatter	phenopath	Suggests
splatter	BASiCS	Suggests
splatter	zinbwave	Suggests
splatter	SparseDC	Suggests
splatter	scuttle	Suggests
SPsimSeq	SingleCellExperiment	Imports
switchde	SingleCellExperiment	Depends
symphony	harmony	Imports
tradeSeq	SingleCellExperiment	Imports
tradeSeq	slingshot	Imports
tradeSeq	monocle	Imports
tradeSeq	clusterExperiment	Suggests
tricycle	SingleCellExperiment	Depends
tricycle	scater	Imports
tricycle	Seurat	Suggests
TSCAN	SingleCellExperiment	Depends
TSCAN	scuttle	Suggests
TSCAN	scran	Suggests
TSCAN	batchelor	Suggests
uSORT	monocle	Imports
VAM	Seurat	Suggests
VAM	SeuratObject	Suggests
VAM	sctransform	Suggests
velociraptor	scuttle	Imports
velociraptor	SingleCellExperiment	Imports
velociraptor	scran	Suggests
velociraptor	scater	Suggests
waddR	SingleCellExperiment	Imports
waddR	scater	Suggests
zinbwave	SingleCellExperiment	Depends
